省,省确诊,省治愈,省死亡,日期
江苏省,236,7,0,2020/2/1
河南省,493,9,2,2020/2/1
湖南省,463,15,0,2020/2/1
山西省,56,2,0,2020/2/1
河北省,104,3,1,2020/2/1
吉林省,23,1,0,2020/2/1
江西省,333,10,0,2020/2/1
新疆维吾尔自治区,21,0,0,2020/2/1
安徽省,340,6,0,2020/2/1
福建省,159,0,0,2020/2/1
青海省,11,0,0,2020/2/1
西藏自治区,1,0,0,2020/2/1
湖北省,11177,295,350,2020/2/2
广东省,725,21,0,2020/2/2
上海市,203,10,1,2020/2/2
黑龙江省,121,2,2,2020/2/2
北京市,212,12,1,2020/2/2
陕西省,128,0,0,2020/2/2
四川省,254,14,1,2020/2/2
辽宁省,73,1,0,2020/2/2
贵州省,46,2,0,2020/2/2
广西壮族自治区,127,7,0,2020/2/2
浙江省,724,40,0,2020/2/2
山东省,259,6,0,2020/2/2
云南省,114,5,0,2020/2/2
海南省,70,4,1,2020/2/2
内蒙古自治区,34,1,0,2020/2/2
宁夏回族自治区,31,1,0,2020/2/2
甘肃省,51,3,0,2020/2/2
天津市,56,1,0,2020/2/2
重庆市,312,8,2,2020/2/2
江苏省,271,8,0,2020/2/2
河南省,566,14,2,2020/2/2
湖南省,521,22,0,2020/2/2
山西省,66,2,0,2020/2/2
河北省,113,3,1,2020/2/2
吉林省,31,1,0,2020/2/2
江西省,391,18,0,2020/2/2
新疆维吾尔自治区,24,0,0,2020/2/2
安徽省,408,11,0,2020/2/2
福建省,179,1,0,2020/2/2
青海省,13,0,0,2020/2/2
湖北省,13522,397,414,2020/2/3
广东省,813,30,0,2020/2/3
上海市,219,12,1,2020/2/3
黑龙江省,155,4,2,2020/2/3
北京市,228,23,1,2020/2/3
陕西省,142,2,0,2020/2/3
四川省,282,14,1,2020/2/3
辽宁省,77,2,0,2020/2/3
贵州省,58,2,0,2020/2/3
广西壮族自治区,139,10,0,2020/2/3
浙江省,829,62,0,2020/2/3
山东省,275,11,0,2020/2/3
云南省,119,5,0,2020/2/3
海南省,80,5,1,2020/2/3
内蒙古自治区,35,1,0,2020/2/3
宁夏回族自治区,34,1,0,2020/2/3
甘肃省,55,3,0,2020/2/3
天津市,67,1,0,2020/2/3
重庆市,344,9,2,2020/2/3
江苏省,308,12,0,2020/2/3
河南省,675,27,2,2020/2/3
湖南省,593,30,0,2020/2/3
山西省,74,4,0,2020/2/3
河北省,126,4,1,2020/2/3
吉林省,42,1,0,2020/2/3
江西省,476,19,0,2020/2/3
新疆维吾尔自治区,29,0,0,2020/2/3
安徽省,480,20,0,2020/2/3
福建省,194,3,0,2020/2/3
青海省,15,0,0,2020/2/3
西藏自治区,1,0,0,2020/2/3
